PRN002,EcoTank L3150,EPSON,ACTIVE,6/5/2026,12
PRN003,ImageClass MF269dw,CANON,INSERVICE,10/03/2023,36
PRN004,HL-L2350DW,Brother,RETIRED,05/12/2022,0
PRN005,WorkForce Pro WF-3720,EPSON,ACTIVE,18/04/2024,24
PRN006,Color LaserJet Pro M454dw,HP,ACTIVE,22/01/2024,36
PRN007,PIXMA TS8370,CANON,INSERVICE,30/11/2023,12
PRN008,Multi-Function Laser MFC-L2710DW,Brother,ACTIVE,14/03/2024,24
PRN009,Expression Home XP-4100,EPSON,RETIRED,08/08/2022,0HUNG,PRO,CANON,ACTIVE,6/5/2026,4
GG,AAAA,CANON,ACTIVE,6/5/2026,5
9,ggg,OTHER,ACTIVE,6/5/2026,6
aaaa,gggg,HP,INSERVICE,6/23/2026,4
g1,g2,CANON,ACTIVE,6/8/2026,0
